"","Entity","Code","Year","nuclear_perc"
"154","South America","","1967",0
"155","South and Central America (EI)","","1967",0.007170549
"156","Taiwan","TWN","1967",0
"157","USSR","OWID_USS","1967",0.08272498
"158","United Kingdom","GBR","1967",2.8368886
"159","United States","USA","1967",0.14491223
"160","Upper-middle-income countries","","1967",0.056384597
"161","Venezuela","VEN","1967",0
"162","World","OWID_WRL","1967",0.24577968
"163","Africa","","1968",0
"164","Africa (EI)","","1968",0
"165","Algeria","DZA","1968",0
"166","Argentina","ARG","1968",0
"167","Asia","","1968",0.04509511
"168","Asia Pacific (EI)","","1968",0.04619623
"169","Austria","AUT","1968",0
"170","Belgium","BEL","1968",0.037189946
"171","Brazil","BRA","1968",0
"172","Bulgaria","BGR","1968",0
"173","CIS (EI)","","1968",0.110856466
"174","Canada","CAN","1968",0.15829207
"175","Chile","CHL","1968",0
"176","China","CHN","1968",0
"177","Colombia","COL","1968",0
"178","Czechia","CZE","1968",0
"179","Egypt","EGY","1968",0
"180","Europe","","1968",0.47788605
"181","Europe (EI)","","1968",0.6832011
"182","European Union (27)","","1968",0.20030788
"183","France","FRA","1968",0.581042
"184","Germany","DEU","1968",0.15805675
"185","High-income countries","","1968",0.3868491
"186","Hungary","HUN","1968",0
"187","India","IND","1968",0
"188","Indonesia","IDN","1968",0
"189","Iran","IRN","1968",0
"190","Italy","ITA","1968",0.61945224
"191","Japan","JPN","1968",0.115280494
"192","Lower-middle-income countries","","1968",0
"193","Mexico","MEX","1968",0
"194","Middle East (EI)","","1968",0
"195","Netherlands","NLD","1968",0.015150955
"196","Non-OECD (EI)","","1968",0.061032932
"197","North America","","1968",0.21103384
"198","North America (EI)","","1968",0.21392839
"199","OECD (EI)","","1968",0.39077652
"200","Oceania","","1968",0
"201","Pakistan","PAK","1968",0
"202","Peru","PER","1968",0
"203","Poland","POL","1968",0
"204","Romania","ROU","1968",0
"205","Saudi Arabia","SAU","1968",0
"206","Slovakia","SVK","1968",0
"207","South Africa","ZAF","1968",0
"208","South America","","1968",0
"209","South and Central America (EI)","","1968",0.003208417
"210","Switzerland","CHE","1968",0
"211","Taiwan","TWN","1968",0
"212","USSR","OWID_USS","1968",0.110856466
"213","United Kingdom","GBR","1968",3.0817683
"214","United States","USA","1968",0.22381568
"215","Upper-middle-income countries","","1968",0.07518273
"216","Venezuela","VEN","1968",0
"217","World","OWID_WRL","1968",0.29454565
"218","Africa","","1969",0
"219","Africa (EI)","","1969",0
"220","Algeria","DZA","1969",0
"221","Argentina","ARG","1969",0
"222","Asia","","1969",0.068660915
"223","Asia Pacific (EI)","","1969",0.07038349
"224","Austria","AUT","1969",0
"225","Belgium","BEL","1969",0.012221684
"226","Brazil","BRA","1969",0
"227","Bulgaria","BGR","1969",0
"228","CIS (EI)","","1969",0.12308883
"229","Canada","CAN","1969",0.086002655
"230","Chile","CHL","1969",0
"231","China","CHN","1969",0
"232","Colombia","COL","1969",0
"233","Czechia","CZE","1969",0
"234","Egypt","EGY","1969",0
"235","Europe","","1969",0.5449073
"236","Europe (EI)","","1969",0.7744888
"237","European Union (27)","","1969",0.27771118
"238","France","FRA","1969",0.61525667
"239","Germany","DEU","1969",0.40964094
"240","High-income countries","","1969",0.42522874
"241","Hungary","HUN","1969",0
"242","India","IND","1969",0.26351663
"243","Indonesia","IDN","1969",0
"244","Iran","IRN","1969",0
"245","Italy","ITA","1969",0.37512305
"246","Japan","JPN","1969",0.104887694
"247","Lower-middle-income countries","","1969",0.14274195
"248","Mexico","MEX","1969",0
"249","Middle East (EI)","","1969",0
"250","Netherlands","NLD","1969",0.152845
"251","Non-OECD (EI)","","1969",0.07981239
"252","North America","","1969",0.21555763
"253","North America (EI)","","1969",0.21870948
"254","OECD (EI)","","1969",0.42959118
"255","Oceania","","1969",0
"256","Pakistan","PAK","1969",0
"257","Peru","PER","1969",0
"258","Poland","POL","1969",0
"259","Romania","ROU","1969",0
"260","Saudi Arabia","SAU","1969",0
"261","Slovakia","SVK","1969",0
"262","South Africa","ZAF","1969",0
"263","South America","","1969",0
"264","South and Central America (EI)","","1969",0.008713735
"265","Spain","ESP","1969",0.47985727
"266","Switzerland","CHE","1969",0.66708314
"267","Taiwan","TWN","1969",0
"268","USSR","OWID_USS","1969",0.12308883
"269","United Kingdom","GBR","1969",3.307385
"270","United States","USA","1969",0.23658916
"271","Upper-middle-income countries","","1969",0.081515566
"272","Venezuela","VEN","1969",0
"273","World","OWID_WRL","1969",0.3272546
"274","Africa","","1970",0
"275","Africa (EI)","","1970",0
"276","Algeria","DZA","1970",0
"277","Argentina","ARG","1970",0
"278","Asia","","1970",0.1975372
"279","Asia Pacific (EI)","","1970",0.20176814
"280","Austria","AUT","1970",0
"281","Belgium","BEL","1970",0.029974239
"282","Brazil","BRA","1970",0
"283","Bulgaria","BGR","1970",0
"284","CIS (EI)","","1970",0.1413445
"285","Canada","CAN","1970",0.15747409
"286","Chile","CHL","1970",0
"287","China","CHN","1970",0
"288","Colombia","COL","1970",0
"289","Czechia","CZE","1970",0
"290","Egypt","EGY","1970",0
"291","Europe","","1970",0.5623244
"292","Europe (EI)","","1970",0.78843355
"293","European Union (27)","","1970",0.3794861
"294","France","FRA","1970",0.8986743
"295","Germany","DEU","1970",0.51029456
"296","High-income countries","","1970",0.51350456
"297","Hungary","HUN","1970",0
"298","India","IND","1970",0.48601216
"299","Indonesia","IDN","1970",0
"300","Iran","IRN","1970",0
"301","Italy","ITA","1970",0.6427354
"302","Japan","JPN","1970",0.39734486
"303","Lower-middle-income countries","","1970",0.24743062
"304","Malaysia","MYS","1970",0
"305","Mexico","MEX","1970",0
"306","Middle East (EI)","","1970",0
"307","Netherlands","NLD","1970",0.15826146
"308","New Zealand","NZL","1970",0
"309","Non-OECD (EI)","","1970",0.09603369
"310","North America","","1970",0.32715043
"311","North America (EI)","","1970",0.33239496
"312","OECD (EI)","","1970",0.5185296
"313","Oceania","","1970",0
"314","Pakistan","PAK","1970",0
"315","Peru","PER","1970",0
"316","Poland","POL","1970",0
"317","Romania","ROU","1970",0
"318","Saudi Arabia","SAU","1970",0
"319","Slovakia","SVK","1970",0
"320","South Africa","ZAF","1970",0
"321","South America","","1970",0
"322","South and Central America (EI)","","1970",0.007185881
"323","Spain","ESP","1970",0.49531427
"324","Switzerland","CHE","1970",2.0119398
"325","Taiwan","TWN","1970",0
"326","USSR","OWID_USS","1970",0.1413445
"327","United Kingdom","GBR","1970",2.8933043
"328","United States","USA","1970",0.35772473
"329","Upper-middle-income countries","","1970",0.09052467
"330","Venezuela","VEN","1970",0
"331","World","OWID_WRL","1970",0.39274982
"332","Africa","","1971",0
"333","Africa (EI)","","1971",0
"334","Algeria","DZA","1971",0
"335","Argentina","ARG","1971",0
"336","Asia","","1971",0.27593952
"337","Asia Pacific (EI)","","1971",0.2824156
"338","Austria","AUT","1971",0
"339","Belgium","BEL","1971",0
"340","Brazil","BRA","1971",0
"341","Bulgaria","BGR","1971",0
"342","CIS (EI)","","1971",0.16539508
"343","Canada","CAN","1971",0.62827003
"344","Central America (EI)","","1971",0.21037145
"345","Chile","CHL","1971",0
"346","China","CHN","1971",0
"347","Colombia","COL","1971",0
"348","Czechia","CZE","1971",0
"349","Egypt","EGY","1971",0
"350","Europe","","1971",0.62473476
"351","Europe (EI)","","1971",0.8763331
"352","European Union (27)","","1971",0.48045897
"353","France","FRA","1971",1.4119526
"354","Germany","DEU","1971",0.48408723
"355","High-income countries","","1971",0.7054274
"356","Hungary","HUN","1971",0
"357","India","IND","1971",0.34729013
"358","Indonesia","IDN","1971",0
"359","Iran","IRN","1971",0
"360","Italy","ITA","1971",0.6467876
"361","Japan","JPN","1971",0.6524272
"362","Lower-middle-income countries","","1971",0.18575613
"363","Malaysia","MYS","1971",0
"364","Mexico","MEX","1971",0
"365","Middle East (EI)","","1971",0
"366","Netherlands","NLD","1971",0.16516818
"367","New Zealand","NZL","1971",0
"368","Non-OECD (EI)","","1971",0.10050024
"369","North America","","1971",0.59173304
"370","North America (EI)","","1971",0.6013115
"371","OECD (EI)","","1971",0.71268576
"372","Oceania","","1971",0
"373","Pakistan","PAK","1971",0.143336
"374","Peru","PER","1971",0
"375","Poland","POL","1971",0
"376","Romania","ROU","1971",0
"377","Saudi Arabia","SAU","1971",0
"378","Slovakia","SVK","1971",0
"379","South Africa","ZAF","1971",0
"380","South America","","1971",0
"381","South and Central America (EI)","","1971",0.006337438
"382","Spain","ESP","1971",1.2296534
"383","Switzerland","CHE","1971",1.5486655
"384","Taiwan","TWN","1971",0
"385","USSR","OWID_USS","1971",0.16539508
"386","United Kingdom","GBR","1971",3.121907
"387","United States","USA","1971",0.6122589
"388","Upper-middle-income countries","","1971",0.10328108
"389","Venezuela","VEN","1971",0
"390","World","OWID_WRL","1971",0.5247486
"391","Africa","","1972",0
"392","Africa (EI)","","1972",0
"393","Algeria","DZA","1972",0
"394","Argentina","ARG","1972",0
"395","Asia","","1972",0.30498293
"396","Asia Pacific (EI)","","1972",0.31309304
"397","Austria","AUT","1972",0
"398","Bangladesh","BGD","1972",0
"399","Belgium","BEL","1972",0.005546642
"400","Brazil","BRA","1972",0
"401","Bulgaria","BGR","1972",0
"402","CIS (EI)","","1972",0.28715008
"403","Canada","CAN","1972",0.986434
"404","Central America (EI)","","1972",0.34413108
"405","Chile","CHL","1972",0
"406","China","CHN","1972",0
"407","Colombia","COL","1972",0
"408","Czechia","CZE","1972",0
"409","Egypt","EGY","1972",0
"410","Europe","","1972",0.8191276
"411","Europe (EI)","","1972",1.110038
"412","European Union (27)","","1972",0.71270436
"413","France","FRA","1972",2.0658839
"414","Germany","DEU","1972",0.71663713
"415","High-income countries","","1972",0.9176652
"416","Hungary","HUN","1972",0
