"","Entity","Code","Year","source","energy_twh","energy_prop"
"33","Australia","AUS",2000,"fossil_fuels",181.05,0.913655631812677
"34","Australia","AUS",2001,"nuclear",0,0
"35","Australia","AUS",2001,"renewables",17.4,0.0821801350776933
"36","Australia","AUS",2001,"fossil_fuels",194.33,0.917819864922307
"37","Australia","AUS",2002,"nuclear",0,0
"38","Australia","AUS",2002,"renewables",17.35,0.0808330227357436
"39","Australia","AUS",2002,"fossil_fuels",197.29,0.919166977264256
"40","Australia","AUS",2003,"nuclear",0,0
"41","Australia","AUS",2003,"renewables",18.5,0.0865983242054019
"42","Australia","AUS",2003,"fossil_fuels",195.13,0.913401675794598
"43","Australia","AUS",2004,"nuclear",0,0
"44","Australia","AUS",2004,"renewables",19.41,0.0870130452324382
"45","Australia","AUS",2004,"fossil_fuels",203.66,0.912986954767562
"46","Australia","AUS",2005,"nuclear",0,0
"47","Australia","AUS",2005,"renewables",19.75,0.0915623551228558
"48","Australia","AUS",2005,"fossil_fuels",195.95,0.908437644877144
"49","Australia","AUS",2006,"nuclear",0,0
"50","Australia","AUS",2006,"renewables",21.19,0.0963576008367059
"51","Australia","AUS",2006,"fossil_fuels",198.72,0.903642399163294
"52","Australia","AUS",2007,"nuclear",0,0
"53","Australia","AUS",2007,"renewables",20.93,0.0911903102126176
"54","Australia","AUS",2007,"fossil_fuels",208.59,0.908809689787382
"55","Australia","AUS",2008,"nuclear",0,0
"56","Australia","AUS",2008,"renewables",18.49,0.0805489000217817
"57","Australia","AUS",2008,"fossil_fuels",211.06,0.919451099978218
"58","Australia","AUS",2009,"nuclear",0,0
"59","Australia","AUS",2009,"renewables",18.32,0.0780437931328278
"60","Australia","AUS",2009,"fossil_fuels",216.42,0.921956206867172
"61","Australia","AUS",2010,"nuclear",0,0
"62","Australia","AUS",2010,"renewables",21.13,0.0904421521208749
"63","Australia","AUS",2010,"fossil_fuels",212.5,0.909557847879125
"64","Australia","AUS",2011,"nuclear",0,0
"65","Australia","AUS",2011,"renewables",27.33,0.1134542737349
"66","Australia","AUS",2011,"fossil_fuels",213.56,0.8865457262651
"67","Australia","AUS",2012,"nuclear",0,0
"68","Australia","AUS",2012,"renewables",26.63,0.114105750278516
"69","Australia","AUS",2012,"fossil_fuels",206.75,0.885894249721484
"70","Australia","AUS",2013,"nuclear",0,0
"71","Australia","AUS",2013,"renewables",34.2,0.148708583355074
"72","Australia","AUS",2013,"fossil_fuels",195.78,0.851291416644926
"73","Australia","AUS",2014,"nuclear",0,0
"74","Australia","AUS",2014,"renewables",36.15,0.149621290509499
"75","Australia","AUS",2014,"fossil_fuels",205.46,0.850378709490501
"76","Australia","AUS",2015,"nuclear",0,0
"77","Australia","AUS",2015,"renewables",33.12,0.143476000693121
"78","Australia","AUS",2015,"fossil_fuels",197.72,0.856523999306879
"79","Australia","AUS",2016,"nuclear",0,0
"80","Australia","AUS",2016,"renewables",38.41,0.156093794448734
"81","Australia","AUS",2016,"fossil_fuels",207.66,0.843906205551266
"82","Australia","AUS",2017,"nuclear",0,0
"83","Australia","AUS",2017,"renewables",40.77,0.163138729942779
"84","Australia","AUS",2017,"fossil_fuels",209.14,0.836861270057221
"85","Australia","AUS",2018,"nuclear",0,0
"86","Australia","AUS",2018,"renewables",42.93,0.171459381739756
"87","Australia","AUS",2018,"fossil_fuels",207.45,0.828540618260244
"88","Australia","AUS",2019,"nuclear",0,0
