"","Entity","Code","Year","low_carbon_perc"
"168","Canada","CAN","1996",79.47751
"169","China","CHN","1996",18.86082
"170","France","FRA","1996",91.48598
"171","Germany","DEU","1996",33.879314
"172","India","IND","1996",17.847122
"173","Japan","JPN","1996",37.770123
"174","Norway","NOR","1996",99.61749
"175","Russia","RUS","1996",31.090336
"176","South Africa","ZAF","1996",6.5739756
"177","Sweden","SWE","1996",91.223946
"178","United Kingdom","GBR","1996",28.727242
"179","United States","USA","1996",30.748165
"180","World","OWID_WRL","1996",36.84991
"181","Australia","AUS","1997",8.989149
"182","Brazil","BRA","1997",94.00732
"183","Canada","CAN","1997",76.68002
"184","China","CHN","1997",18.786402
"185","France","FRA","1997",92.20696
"186","Germany","DEU","1997",35.2895
"187","India","IND","1997",17.533396
"188","Japan","JPN","1997",40.207253
"189","Norway","NOR","1997",99.682915
"190","Russia","RUS","1997",31.88816
"191","South Africa","ZAF","1997",7.0758977
"192","Sweden","SWE","1997",95.14107
"193","United Kingdom","GBR","1997",30.098227
"194","United States","USA","1997",29.259083
"195","World","OWID_WRL","1997",36.278072
"196","Australia","AUS","1998",8.488753
"197","Brazil","BRA","1998",93.93806
"198","Canada","CAN","1998",73.11891
"199","China","CHN","1998",18.49525
"200","France","FRA","1998",89.25579
"201","Germany","DEU","1998",33.77204
"202","India","IND","1998",19.280458
"203","Japan","JPN","1998",40.70877
"204","Norway","NOR","1998",99.71628
"205","Russia","RUS","1998",31.707846
"206","South Africa","ZAF","1998",7.5116615
"207","Sweden","SWE","1998",95.522385
"208","United Kingdom","GBR","1998",29.949043
"209","United States","USA","1998",28.539993
"210","World","OWID_WRL","1998",35.81597
"211","Australia","AUS","1999",8.457535
"212","Brazil","BRA","1999",91.22531
"213","Canada","CAN","1999",73.92155
"214","China","CHN","1999",17.311365
"215","France","FRA","1999",90.102264
"216","Germany","DEU","1999",35.964817
"217","India","IND","1999",17.925135
"218","Japan","JPN","1999",38.71299
"219","Norway","NOR","1999",99.67252
"220","Russia","RUS","1999",33.374577
"221","South Africa","ZAF","1999",6.7779245
"222","Sweden","SWE","1999",95.54379
"223","United Kingdom","GBR","1999",28.678988
"224","United States","USA","1999",29.336617
"225","World","OWID_WRL","1999",35.66371
"226","Australia","AUS","2000",8.634437
"227","Brazil","BRA","2000",91.57278
"228","Canada","CAN","2000",73.5631
"229","China","CHN","2000",17.874004
"230","France","FRA","2000",90.51537
"231","Germany","DEU","2000",35.834354
"232","India","IND","2000",16.808134
"233","Japan","JPN","2000",41.49231
"234","Norway","NOR","2000",99.77533
"235","Russia","RUS","2000",34.394764
"236","South Africa","ZAF","2000",7.5329566
"237","Sweden","SWE","2000",96.71556
"238","United Kingdom","GBR","2000",25.385971
"239","United States","USA","2000",29.05815
"240","World","OWID_WRL","2000",35.814354
"241","Australia","AUS","2001",8.218014
"242","Brazil","BRA","2001",89.111
"243","Canada","CAN","2001",72.05828
"244","China","CHN","2001",20.1379
"245","France","FRA","2001",91.45038
"246","Germany","DEU","2001",35.951813
"247","India","IND","2001",16.222763
"248","Japan","JPN","2001",41.767937
"249","Norway","NOR","2001",99.65335
"250","Russia","RUS","2001",35.513443
"251","South Africa","ZAF","2001",6.706014
"252","Sweden","SWE","2001",96.18192
"253","United Kingdom","GBR","2001",26.061146
"254","United States","USA","2001",28.138706
"255","World","OWID_WRL","2001",35.33717
"256","Australia","AUS","2002",8.0833025
"257","Brazil","BRA","2002",90.15546
"258","Canada","CAN","2002",73.43517
"259","China","CHN","2002",19.137848
"260","France","FRA","2002",90.46041
"261","Germany","DEU","2002",35.968105
"262","India","IND","2002",15.112197
"263","Japan","JPN","2002",38.66364
"264","Norway","NOR","2002",99.67722
"265","Russia","RUS","2002",35.0333
"266","South Africa","ZAF","2002",7.269512
"267","Sweden","SWE","2002",94.92842
"268","United Kingdom","GBR","2002",25.735828
"269","United States","USA","2002",29.040926
"270","World","OWID_WRL","2002",34.75267
"271","Australia","AUS","2003",8.659832
"272","Brazil","BRA","2003",91.18975
"273","Canada","CAN","2003",72.50952
"274","China","CHN","2003",17.304693
"275","France","FRA","2003",89.75211
"276","Germany","DEU","2003",35.139576
"277","India","IND","2003",14.53779
"278","Japan","JPN","2003",35.06225
"279","Norway","NOR","2003",99.474625
"280","Russia","RUS","2003",34.255325
"281","South Africa","ZAF","2003",6.3462243
"282","Sweden","SWE","2003",93.17527
"283","United Kingdom","GBR","2003",25.112528
"284","United States","USA","2003",28.765244
"285","World","OWID_WRL","2003",33.571587
"286","Australia","AUS","2004",8.701304
"287","Brazil","BRA","2004",89.46926
"288","Canada","CAN","2004",74.44069
"289","China","CHN","2004",18.513056
"290","France","FRA","2004",90.033325
"291","Germany","DEU","2004",36.874874
"292","India","IND","2004",18.68198
"293","Japan","JPN","2004",38.127705
"294","Norway","NOR","2004",99.46354
"295","Russia","RUS","2004",35.444523
"296","South Africa","ZAF","2004",6.8392916
"297","Sweden","SWE","2004",96.03138
"298","United Kingdom","GBR","2004",24.058882
"299","United States","USA","2004",28.686348
"300","World","OWID_WRL","2004",33.989483
"301","Australia","AUS","2005",9.156236
"302","Brazil","BRA","2005",90.00303
"303","Canada","CAN","2005",75.1381
"304","China","CHN","2005",18.296497
"305","France","FRA","2005",88.88324
"306","Germany","DEU","2005",36.916584
"307","India","IND","2005",17.770964
"308","Japan","JPN","2005",37.537926
"309","Norway","NOR","2005",99.57695
"310","Russia","RUS","2005",34.505054
"311","South Africa","ZAF","2005",6.103307
"312","Sweden","SWE","2005",96.994385
"313","United Kingdom","GBR","2005",24.922867
"314","United States","USA","2005",28.129686
"315","World","OWID_WRL","2005",33.534058
"316","Australia","AUS","2006",9.63576
"317","Brazil","BRA","2006",90.43527
"318","Canada","CAN","2006",76.42542
"319","China","CHN","2006",17.50206
"320","France","FRA","2006",89.98239
"321","Germany","DEU","2006",38.0718
"322","India","IND","2006",19.503513
"323","Japan","JPN","2006",39.0951
"324","Norway","NOR","2006",99.430176
"325","Russia","RUS","2006",33.842663
"326","South Africa","ZAF","2006",5.642434
"327","Sweden","SWE","2006",96.34282
"328","United Kingdom","GBR","2006",23.779991
"329","United States","USA","2006",28.870703
"330","World","OWID_WRL","2006",33.25126
"331","Australia","AUS","2007",9.119031
"332","Brazil","BRA","2007",91.390076
"333","Canada","CAN","2007",75.63339
"334","China","CHN","2007",17.151705
"335","France","FRA","2007",89.65155
"336","Germany","DEU","2007",36.36033
"337","India","IND","2007",20.041193
"338","Japan","JPN","2007",34.293114
"339","Norway","NOR","2007",99.26438
"340","Russia","RUS","2007",33.92478
"341","South Africa","ZAF","2007",5.6318626
"342","Sweden","SWE","2007",97.02996
"343","United Kingdom","GBR","2007",21.049417
"344","United States","USA","2007",27.865068
"345","World","OWID_WRL","2007",32.012924
"346","Australia","AUS","2008",8.05489
"347","Brazil","BRA","2008",87.71251
"348","Canada","CAN","2008",77.01353
"349","China","CHN","2008",20.981703
"350","France","FRA","2008",90.205345
"351","Germany","DEU","2008",38.340176
"352","India","IND","2008",18.60673
"353","Japan","JPN","2008",34.002705
"354","Norway","NOR","2008",99.524895
"355","Russia","RUS","2008",32.26052
"356","South Africa","ZAF","2008",5.9859595
"357","Sweden","SWE","2008",96.93129
"358","United Kingdom","GBR","2008",19.317118
"359","United States","USA","2008",28.808554
"360","World","OWID_WRL","2008",32.771805
"361","Australia","AUS","2009",7.804379
"362","Brazil","BRA","2009",92.08145
"363","Canada","CAN","2009",78.19636
"364","China","CHN","2009",19.7715
"365","France","FRA","2009",90.30252
"366","Germany","DEU","2009",39.200935
"367","India","IND","2009",17.181797
"368","Japan","JPN","2009",37.38577
"369","Norway","NOR","2009",96.63102
"370","Russia","RUS","2009",34.871525
"371","South Africa","ZAF","2009",5.798791
"372","Sweden","SWE","2009",96.61786
"373","United Kingdom","GBR","2009",25.289482
"374","United States","USA","2009",30.823996
"375","World","OWID_WRL","2009",33.183754
"376","Australia","AUS","2010",9.044215
"377","Brazil","BRA","2010",88.053566
"378","Canada","CAN","2010",77.64257
"379","China","CHN","2010",20.564993
"380","France","FRA","2010",89.76067
"381","Germany","DEU","2010",39.34106
"382","India","IND","2010",17.674166
"383","Japan","JPN","2010",36.249386
"384","Norway","NOR","2010",95.84045
"385","Russia","RUS","2010",33.243843
"386","South Africa","ZAF","2010",6.342086
"387","Sweden","SWE","2010",94.25396
"388","United Kingdom","GBR","2010",23.308966
"389","United States","USA","2010",29.93359
"390","World","OWID_WRL","2010",32.793915
"391","Australia","AUS","2011",11.3454275
"392","Brazil","BRA","2011",90.468155
"393","Canada","CAN","2011",78.52962
"394","China","CHN","2011",18.748974
"395","France","FRA","2011",89.60345
"396","Germany","DEU","2011",38.33799
"397","India","IND","2011",19.907156
"398","Japan","JPN","2011",25.776997
"399","Norway","NOR","2011",96.58506
"400","Russia","RUS","2011",32.90909
"401","South Africa","ZAF","2011",6.311096
"402","Sweden","SWE","2011",96.19377
"403","United Kingdom","GBR","2011",28.537775
"404","United States","USA","2011",31.792154
"405","World","OWID_WRL","2011",32.182858
"406","Australia","AUS","2012",11.410575
"407","Brazil","BRA","2012",85.88896
"408","Canada","CAN","2012",79.71483
"409","China","CHN","2012",22.102327
"410","France","FRA","2012",90.05078
"411","Germany","DEU","2012",39.088314
"412","India","IND","2012",18.170246
"413","Japan","JPN","2012",12.059049
"414","Norway","NOR","2012",97.98704
"415","Russia","RUS","2012",32.83041
"416","South Africa","ZAF","2012",5.836447
"417","Sweden","SWE","2012",97.54251
"418","United Kingdom","GBR","2012",30.934633
"419","United States","USA","2012",31.223783
"420","World","OWID_WRL","2012",32.089783
"421","Australia","AUS","2013",14.870858
"422","Brazil","BRA","2013",80.12387
"423","Canada","CAN","2013",80.73323
"424","China","CHN","2013",22.276764
"425","France","FRA","2013",90.74507
"426","Germany","DEU","2013",39.55161
"427","India","IND","2013",19.300434
"428","Japan","JPN","2013",12.809407
"429","Norway","NOR","2013",97.86148
"430","Russia","RUS","2013",34.191555
"431","South Africa","ZAF","2013",6.3854766
"432","Sweden","SWE","2013",97.46455
"433","United Kingdom","GBR","2013",34.84158
"434","United States","USA","2013",32.28614
"435","World","OWID_WRL","2013",32.63467
"436","Australia","AUS","2014",14.96213
"437","Brazil","BRA","2014",76.527
"438","Canada","CAN","2014",80.702415
"439","China","CHN","2014",24.659735
"440","France","FRA","2014",93.69823
"441","Germany","DEU","2014",41.88564
"442","India","IND","2014",18.758022
"443","Japan","JPN","2014",13.271962
"444","Norway","NOR","2014",97.87143
"445","Russia","RUS","2014",34.26673
"446","South Africa","ZAF","2014",7.668245
"447","Sweden","SWE","2014",98.09183
"448","United Kingdom","GBR","2014",38.265564
"449","United States","USA","2014",32.81242
"450","World","OWID_WRL","2014",33.161877
"451","Australia","AUS","2015",14.3476
"452","Brazil","BRA","2015",77.456825
"453","Canada","CAN","2015",80.327095
"454","China","CHN","2015",27.040327
"455","France","FRA","2015",92.22017
"456","Germany","DEU","2015",43.80161
"457","India","IND","2015",18.269842
"458","Japan","JPN","2015",15.981131
"459","Norway","NOR","2015",97.90997
"460","Russia","RUS","2015",34.83473
"461","South Africa","ZAF","2015",7.3553505
"462","Sweden","SWE","2015",98.055565
"463","United Kingdom","GBR","2015",45.5985
"464","United States","USA","2015",33.14577
"465","World","OWID_WRL","2015",33.867153
"466","Australia","AUS","2016",15.609379
"467","Brazil","BRA","2016",83.713684
"468","Canada","CAN","2016",81.02748
"469","China","CHN","2016",28.500713
"470","France","FRA","2016",89.89528
"471","Germany","DEU","2016",42.6614
"472","India","IND","2016",17.558842
"473","Japan","JPN","2016",17.171658
"474","Norway","NOR","2016",97.995
"475","Russia","RUS","2016",35.792404
"476","South Africa","ZAF","2016",9.703801
"477","Sweden","SWE","2016",97.65219
"478","United Kingdom","GBR","2016",46.009277
"479","United States","USA","2016",34.998875
"480","World","OWID_WRL","2016",34.549126
"481","Australia","AUS","2017",16.313873
"482","Brazil","BRA","2017",82.4661
"483","Canada","CAN","2017",82.36389
"484","China","CHN","2017",29.20226
"485","France","FRA","2017",88.294846
"486","Germany","DEU","2017",45.29961
"487","India","IND","2017",18.509884
"488","Japan","JPN","2017",20.106245
"489","Norway","NOR","2017",98.025734
"490","Russia","RUS","2017",36.32682
"491","South Africa","ZAF","2017",10.563262
"492","Sweden","SWE","2017",97.88711
"493","United Kingdom","GBR","2017",50.489407
"494","United States","USA","2017",37.315506
"495","World","OWID_WRL","2017",35.173218
"496","Australia","AUS","2018",17.145937
"497","Brazil","BRA","2018",85.409164
"498","Canada","CAN","2018",82.31297
"499","China","CHN","2018",29.917704
"500","France","FRA","2018",91.44365
"501","Germany","DEU","2018",47.109306
"502","India","IND","2018",19.16807
"503","Japan","JPN","2018",22.869198
"504","Norway","NOR","2018",97.97288
"505","Russia","RUS","2018",35.773537
"506","South Africa","ZAF","2018",9.610598
"507","Sweden","SWE","2018",97.75955
"508","United Kingdom","GBR","2018",52.977306
"509","United States","USA","2018",36.659092
"510","World","OWID_WRL","2018",35.60828
"511","Australia","AUS","2019",21.37597
"512","Brazil","BRA","2019",85.30534
"513","Canada","CAN","2019",82.378334
"514","China","CHN","2019",31.672895
"515","France","FRA","2019",90.54302
"516","Germany","DEU","2019",52.611385
"517","India","IND","2019",21.475914
"518","Japan","JPN","2019",25.860157
"519","Norway","NOR","2019",97.93769
"520","Russia","RUS","2019",36.93093
"521","South Africa","ZAF","2019",11.15706
"522","Sweden","SWE","2019",98.010925
"523","United Kingdom","GBR","2019",54.923054
"524","United States","USA","2019",37.75918
"525","World","OWID_WRL","2019",36.910015
"526","Australia","AUS","2020",25.503168
"527","Brazil","BRA","2020",86.79134
"528","Canada","CAN","2020",83.625496
"529","China","CHN","2020",32.980618
