"","Entity","Code","Year","solar_perc"
"173","Pakistan","PAK",2021,0.8390491
"174","Palestine","PSE",2021,23.255814
"175","Panama","PAN",2021,3.7533514
"176","Papua New Guinea","PNG",2021,0
"177","Paraguay","PRY",2021,0
"178","Peru","PER",2021,1.4103887
"179","Philippines","PHL",2021,1.3861935
"180","Poland","POL",2021,2.1983554
"181","Portugal","PRT",2021,4.5307446
"182","Puerto Rico","PRI",2021,1.4802632
"183","Qatar","QAT",2021,0.021048201
"184","Romania","ROU",2021,2.875021
"185","Russia","RUS",2021,0.20714003
"186","Rwanda","RWA",2021,7.058823
"187","Saint Kitts and Nevis","KNA",2021,0
"188","Saint Lucia","LCA",2021,0
"189","Saint Pierre and Miquelon","SPM",2021,0
"190","Saint Vincent and the Grenadines","VCT",2021,0
"191","Samoa","WSM",2021,11.764706
"192","Sao Tome and Principe","STP",2021,0
"193","Saudi Arabia","SAU",2021,0.23274073
"194","Senegal","SEN",2021,8.362989
"195","Serbia","SRB",2021,0.026645351
"196","Seychelles","SYC",2021,10.769231
"197","Sierra Leone","SLE",2021,4.7619047
"198","Singapore","SGP",2021,1.253039
"199","Slovakia","SVK",2021,2.2589345
"200","Slovenia","SVN",2021,2.8864655
"201","Solomon Islands","SLB",2021,0
"202","Somalia","SOM",2021,7.3170733
"203","South Africa","ZAF",2021,2.9793906
"204","South America","",2021,2.599054
"205","South Korea","KOR",2021,4.06953
"206","South Sudan","SSD",2021,1.754386
"207","South and Central America (EI)","",2021,2.6524425
"208","Spain","ESP",2021,10.007016
"209","Sri Lanka","LKA",2021,3.3027525
"210","Sudan","SDN",2021,0.18083182
"211","Suriname","SUR",2021,0.990099
"212","Sweden","SWE",2021,0.890726
"213","Switzerland","CHE",2021,4.759552
"214","Syria","SYR",2021,0
"215","Taiwan","TWN",2021,2.7697654
"216","Tajikistan","TJK",2021,0
"217","Tanzania","TZA",2021,0.7334963
"218","Thailand","THA",2021,2.2955906
"219","Togo","TGO",2021,3.1746032
"220","Tonga","TON",2021,12.5
"221","Trinidad and Tobago","TTO",2021,0.11454754
"222","Tunisia","TUN",2021,1.9589106
"223","Turkey","TUR",2021,4.1810384
"224","Turkmenistan","TKM",2021,0
"225","Turks and Caicos Islands","TCA",2021,0
"226","Uganda","UGA",2021,3.409091
"227","Ukraine","UKR",2021,3.8338041
"228","United Arab Emirates","ARE",2021,4.932537
"229","United Kingdom","GBR",2021,4.063029
"230","United States","USA",2021,3.9584746
"231","United States Virgin Islands","VIR",2021,2.857143
"232","Upper-middle-income countries","",2021,3.200214
"233","Uruguay","URY",2021,3.0341341
"234","Uzbekistan","UZB",2021,0.016891891
"235","Vanuatu","VUT",2021,14.285714
"236","Venezuela","VEN",2021,0.010555204
"237","Vietnam","VNM",2021,10.528251
"238","Western Africa (EI)","",2021,1.2156916
"239","World","OWID_WRL",2021,3.7365298
"240","Yemen","YEM",2021,16.997168
"241","Zambia","ZMB",2021,0.8469792
"242","Zimbabwe","ZWE",2021,0.49813202
