"","Entity","Code","Year","source","energy_twh","rank"
"105","World","OWID_WRL",1969,"nuclear",175.31134,6
"106","World","OWID_WRL",1969,"other_renewables",72.558716,7
"107","World","OWID_WRL",1969,"solar",0,8
"108","World","OWID_WRL",1969,"wind",0,9
"109","World","OWID_WRL",1970,"oil",26520.377,1
"110","World","OWID_WRL",1970,"coal",17058.607,2
"111","World","OWID_WRL",1970,"gas",9614.819,3
"112","World","OWID_WRL",1970,"bioenergy",9457.501494,4
"113","World","OWID_WRL",1970,"hydro",3473.4265,5
"114","World","OWID_WRL",1970,"nuclear",223.80801,6
"115","World","OWID_WRL",1970,"other_renewables",80.33795,7
"116","World","OWID_WRL",1970,"solar",0,8
"117","World","OWID_WRL",1970,"wind",0,9
"118","World","OWID_WRL",1971,"oil",28021.105,1
"119","World","OWID_WRL",1971,"coal",16965.777,2
"120","World","OWID_WRL",1971,"gas",10293.2,3
"121","World","OWID_WRL",1971,"bioenergy",9512.562146,4
"122","World","OWID_WRL",1971,"hydro",3628.942,5
"123","World","OWID_WRL",1971,"nuclear",311.28723,6
"124","World","OWID_WRL",1971,"other_renewables",87.339066,7
"125","World","OWID_WRL",1971,"solar",0,8
"126","World","OWID_WRL",1971,"wind",0,9
"127","World","OWID_WRL",1972,"oil",30139.71,1
"128","World","OWID_WRL",1972,"coal",17158.637,2
"129","World","OWID_WRL",1972,"gas",10861.724,3
"130","World","OWID_WRL",1972,"bioenergy",9567.82311,4
"131","World","OWID_WRL",1972,"hydro",3798.634,5
"132","World","OWID_WRL",1972,"nuclear",431.79926,6
"133","World","OWID_WRL",1972,"other_renewables",93.40202,7
"134","World","OWID_WRL",1972,"solar",0,8
"135","World","OWID_WRL",1972,"wind",0,9
"136","World","OWID_WRL",1973,"oil",32560.594,1
"137","World","OWID_WRL",1973,"coal",17667.85,2
"138","World","OWID_WRL",1973,"gas",11377.838,3
"139","World","OWID_WRL",1973,"bioenergy",9622.250557,4
"140","World","OWID_WRL",1973,"hydro",3852.995,5
"141","World","OWID_WRL",1973,"nuclear",578.5737,6
"142","World","OWID_WRL",1973,"other_renewables",100.24631,7
"143","World","OWID_WRL",1973,"solar",0,8
"144","World","OWID_WRL",1973,"wind",0,9
"145","World","OWID_WRL",1974,"oil",32120.803,1
"146","World","OWID_WRL",1974,"coal",17682.05,2
"147","World","OWID_WRL",1974,"gas",11659.864,3
"148","World","OWID_WRL",1974,"bioenergy",9677.334716,4
"149","World","OWID_WRL",1974,"hydro",4232.1367,5
"150","World","OWID_WRL",1974,"nuclear",756.48175,6
"151","World","OWID_WRL",1974,"other_renewables",106.87296,7
"152","World","OWID_WRL",1974,"solar",0,8
"153","World","OWID_WRL",1974,"wind",0,9
"154","World","OWID_WRL",1975,"oil",31746.924,1
"155","World","OWID_WRL",1975,"coal",18024.537,2
"156","World","OWID_WRL",1975,"gas",11659.741,3
"157","World","OWID_WRL",1975,"bioenergy",9731.688392,4
"158","World","OWID_WRL",1975,"hydro",4284.3325,5
"159","World","OWID_WRL",1975,"nuclear",1049.4497,6
"160","World","OWID_WRL",1975,"other_renewables",108.1472,7
"161","World","OWID_WRL",1975,"solar",0,8
"162","World","OWID_WRL",1975,"wind",0,9
"163","World","OWID_WRL",1976,"oil",33782.324,1
"164","World","OWID_WRL",1976,"coal",18688.486,2
"165","World","OWID_WRL",1976,"gas",12354.144,3
"166","World","OWID_WRL",1976,"bioenergy",9787.751189,4
"167","World","OWID_WRL",1976,"hydro",4267.3394,5
"168","World","OWID_WRL",1976,"nuclear",1227.7115,6
"169","World","OWID_WRL",1976,"other_renewables",120.57106,7
"170","World","OWID_WRL",1976,"solar",0,8
"171","World","OWID_WRL",1976,"wind",0,9
"172","World","OWID_WRL",1977,"oil",34960.312,1
"173","World","OWID_WRL",1977,"coal",19241.3,2
"174","World","OWID_WRL",1977,"gas",12759.843,3
"175","World","OWID_WRL",1977,"bioenergy",9848.318535,4
"176","World","OWID_WRL",1977,"hydro",4410.859,5
"177","World","OWID_WRL",1977,"nuclear",1528.1375,6
"178","World","OWID_WRL",1977,"other_renewables",127.266624,7
"179","World","OWID_WRL",1977,"solar",0,8
"180","World","OWID_WRL",1977,"wind",0,9
"181","World","OWID_WRL",1978,"oil",36550.02,1
"182","World","OWID_WRL",1978,"coal",19457.904,2
"183","World","OWID_WRL",1978,"gas",13293.952,3
"184","World","OWID_WRL",1978,"bioenergy",9909.178774,4
"185","World","OWID_WRL",1978,"hydro",4773.711,5
"186","World","OWID_WRL",1978,"nuclear",1775.7009,6
"187","World","OWID_WRL",1978,"other_renewables",135.02682,7
"188","World","OWID_WRL",1978,"wind",0.008870971,8
"189","World","OWID_WRL",1978,"solar",0,9
"190","World","OWID_WRL",1979,"oil",37114.258,1
"191","World","OWID_WRL",1979,"coal",20363.537,2
"192","World","OWID_WRL",1979,"gas",14118.032,3
"193","World","OWID_WRL",1979,"bioenergy",9971.023214,4
"194","World","OWID_WRL",1979,"hydro",5012.647,5
"195","World","OWID_WRL",1979,"nuclear",1846.8246,6
"196","World","OWID_WRL",1979,"other_renewables",144.51552,7
"197","World","OWID_WRL",1979,"wind",0.017741943,8
"198","World","OWID_WRL",1979,"solar",0,9
"199","World","OWID_WRL",1980,"oil",35525.133,1
"200","World","OWID_WRL",1980,"coal",20857.61,2
"201","World","OWID_WRL",1980,"gas",14236.961,3
"202","World","OWID_WRL",1980,"bioenergy",10032.78612,4
"203","World","OWID_WRL",1980,"hydro",5120.4688,5
"204","World","OWID_WRL",1980,"nuclear",2020.0956,6
"205","World","OWID_WRL",1980,"other_renewables",153.78857,7
"206","World","OWID_WRL",1980,"wind",0.031048333,8
"207","World","OWID_WRL",1980,"solar",0,9
"208","World","OWID_WRL",1981,"oil",34268.04,1
"209","World","OWID_WRL",1981,"coal",21149.68,2
"210","World","OWID_WRL",1981,"gas",14395.873,3
"211","World","OWID_WRL",1981,"bioenergy",10135.747923,4
"212","World","OWID_WRL",1981,"hydro",5230.6284,5
"213","World","OWID_WRL",1981,"nuclear",2385.6428,6
"214","World","OWID_WRL",1981,"other_renewables",164.9076,7
"215","World","OWID_WRL",1981,"wind",0.031048333,8
"216","World","OWID_WRL",1981,"solar",0,9
"217","World","OWID_WRL",1982,"oil",33208.07,1
"218","World","OWID_WRL",1982,"coal",21385.451,2
"219","World","OWID_WRL",1982,"gas",14469.734,3
"220","World","OWID_WRL",1982,"bioenergy",10250.556244,4
"221","World","OWID_WRL",1982,"hydro",5325.2656,5
"222","World","OWID_WRL",1982,"nuclear",2588.3174,6
"223","World","OWID_WRL",1982,"other_renewables",191.2329,7
"224","World","OWID_WRL",1982,"wind",0.054704163,8
"225","World","OWID_WRL",1982,"solar",0,9
"226","World","OWID_WRL",1983,"oil",32956.613,1
"227","World","OWID_WRL",1983,"coal",22046.346,2
"228","World","OWID_WRL",1983,"gas",14703.833,3
"229","World","OWID_WRL",1983,"bioenergy",10370.01924,4
"230","World","OWID_WRL",1983,"hydro",5552.5425,5
"231","World","OWID_WRL",1983,"nuclear",2933.459,6
"232","World","OWID_WRL",1983,"other_renewables",211.77058,7
"233","World","OWID_WRL",1983,"wind",0.09697445,8
"234","World","OWID_WRL",1983,"solar",0.008870971,9
"235","World","OWID_WRL",1984,"oil",33680.13,1
"236","World","OWID_WRL",1984,"coal",23001.078,2
"237","World","OWID_WRL",1984,"gas",15902.68,3
"238","World","OWID_WRL",1984,"bioenergy",10487.806423,4
"239","World","OWID_WRL",1984,"hydro",5740.62,5
"240","World","OWID_WRL",1984,"nuclear",3559.8567,6
"241","World","OWID_WRL",1984,"other_renewables",236.32065,7
"242","World","OWID_WRL",1984,"wind",0.13234167,8
"243","World","OWID_WRL",1984,"solar",0.018661888,9
"244","World","OWID_WRL",1985,"oil",33667.098,1
"245","World","OWID_WRL",1985,"coal",23987.826,2
"246","World","OWID_WRL",1985,"gas",16262.222,3
"247","World","OWID_WRL",1985,"bioenergy",10609.41009,4
"248","World","OWID_WRL",1985,"hydro",5852.605,5
"249","World","OWID_WRL",1985,"nuclear",4224.8374,6
"250","World","OWID_WRL",1985,"other_renewables",243.15495,7
"251","World","OWID_WRL",1985,"wind",0.18989833,8
"252","World","OWID_WRL",1985,"solar",0.03473722,9
"253","World","OWID_WRL",1986,"oil",34712.902,1
"254","World","OWID_WRL",1986,"coal",24258.035,2
"255","World","OWID_WRL",1986,"gas",16421.11,3
"256","World","OWID_WRL",1986,"bioenergy",10737.20299,4
"257","World","OWID_WRL",1986,"hydro",5931.9126,5
"258","World","OWID_WRL",1986,"nuclear",4525.0864,6
"259","World","OWID_WRL",1986,"other_renewables",263.68542,7
"260","World","OWID_WRL",1986,"wind",0.4105228,8
"261","World","OWID_WRL",1986,"solar",0.04489833,9
"262","World","OWID_WRL",1987,"oil",35404.36,1
"263","World","OWID_WRL",1987,"coal",25212.426,2
"264","World","OWID_WRL",1987,"gas",17281.895,3
"265","World","OWID_WRL",1987,"bioenergy",10850.33012,4
"266","World","OWID_WRL",1987,"hydro",6012.1157,5
"267","World","OWID_WRL",1987,"nuclear",4922.331,6
"268","World","OWID_WRL",1987,"other_renewables",282.4433,7
"269","World","OWID_WRL",1987,"wind",0.57772696,8
"270","World","OWID_WRL",1987,"solar",0.031353053,9
"271","World","OWID_WRL",1988,"oil",36551.46,1
"272","World","OWID_WRL",1988,"coal",25967.129,2
"273","World","OWID_WRL",1988,"gas",18088.848,3
"274","World","OWID_WRL",1988,"bioenergy",10968.560196,4
"275","World","OWID_WRL",1988,"hydro",6204.8037,5
"276","World","OWID_WRL",1988,"nuclear",5366.448,6
"277","World","OWID_WRL",1988,"other_renewables",290.86093,7
"278","World","OWID_WRL",1988,"wind",0.980478,8
"279","World","OWID_WRL",1988,"solar",0.030149443,9
"280","World","OWID_WRL",1989,"oil",37164.043,1
"281","World","OWID_WRL",1989,"coal",26215.674,2
"282","World","OWID_WRL",1989,"gas",18888.676,3
"283","World","OWID_WRL",1989,"bioenergy",11090.68924,4
"284","World","OWID_WRL",1989,"hydro",6172.975,5
"285","World","OWID_WRL",1989,"nuclear",5518.996,6
"286","World","OWID_WRL",1989,"other_renewables",322.35043,7
"287","World","OWID_WRL",1989,"wind",7.835361,8
"288","World","OWID_WRL",1989,"solar",0.77539134,9
"289","World","OWID_WRL",1990,"oil",37676.57,1
"290","World","OWID_WRL",1990,"coal",25906.625,2
"291","World","OWID_WRL",1990,"gas",19481.125,3
"292","World","OWID_WRL",1990,"bioenergy",11217.64288,4
"293","World","OWID_WRL",1990,"hydro",6383.708,5
"294","World","OWID_WRL",1990,"nuclear",5676.7207,6
"295","World","OWID_WRL",1990,"other_renewables",361.19138,7
"296","World","OWID_WRL",1990,"wind",10.741176,8
"297","World","OWID_WRL",1990,"solar",1.1483465,9
"298","World","OWID_WRL",1991,"oil",37663.043,1
"299","World","OWID_WRL",1991,"coal",25658.182,2
"300","World","OWID_WRL",1991,"gas",19972.84,3
"301","World","OWID_WRL",1991,"bioenergy",11353.728714,4
"302","World","OWID_WRL",1991,"hydro",6531.108,5
"303","World","OWID_WRL",1991,"nuclear",5948.311,6
"304","World","OWID_WRL",1991,"other_renewables",376.81265,7
"305","World","OWID_WRL",1991,"wind",12.082573,8
"306","World","OWID_WRL",1991,"solar",1.4942344,9
"307","World","OWID_WRL",1992,"oil",38147.168,1
"308","World","OWID_WRL",1992,"coal",25558.422,2
"309","World","OWID_WRL",1992,"gas",20063.484,3
"310","World","OWID_WRL",1992,"bioenergy",11484.79633,4
"311","World","OWID_WRL",1992,"hydro",6530.39,5
"312","World","OWID_WRL",1992,"nuclear",5993.4634,6
"313","World","OWID_WRL",1992,"other_renewables",404.78116,7
"314","World","OWID_WRL",1992,"wind",13.994874,8
"315","World","OWID_WRL",1992,"solar",1.379965,9
"316","World","OWID_WRL",1993,"oil",37961.344,1
"317","World","OWID_WRL",1993,"coal",25688.932,2
"318","World","OWID_WRL",1993,"gas",20265.482,3
"319","World","OWID_WRL",1993,"bioenergy",11625.44431,4
"320","World","OWID_WRL",1993,"hydro",6923.671,5
"321","World","OWID_WRL",1993,"nuclear",6199.8696,6
"322","World","OWID_WRL",1993,"other_renewables",418.23853,7
"323","World","OWID_WRL",1993,"wind",16.867165,8
"324","World","OWID_WRL",1993,"solar",1.6460894,9
"325","World","OWID_WRL",1994,"oil",38782.055,1
"326","World","OWID_WRL",1994,"coal",25788.928,2
"327","World","OWID_WRL",1994,"gas",20389.613,3
"328","World","OWID_WRL",1994,"bioenergy",11771.175285,4
"329","World","OWID_WRL",1994,"hydro",6967.2666,5
"330","World","OWID_WRL",1994,"nuclear",6316.248,6
"331","World","OWID_WRL",1994,"other_renewables",434.65265,7
"332","World","OWID_WRL",1994,"wind",21.088448,8
"333","World","OWID_WRL",1994,"solar",1.7652723,9
"334","World","OWID_WRL",1995,"oil",39460.77,1
"335","World","OWID_WRL",1995,"coal",25966.357,2
"336","World","OWID_WRL",1995,"gas",21104.494,3
"337","World","OWID_WRL",1995,"bioenergy",11916.20163,4
"338","World","OWID_WRL",1995,"hydro",7344.2354,5
"339","World","OWID_WRL",1995,"nuclear",6590.213,6
"340","World","OWID_WRL",1995,"other_renewables",454.25476,7
"341","World","OWID_WRL",1995,"wind",24.46058,8
"342","World","OWID_WRL",1995,"solar",1.8891695,9
"343","World","OWID_WRL",1996,"oil",40334.64,1
"344","World","OWID_WRL",1996,"coal",26584.988,2
"345","World","OWID_WRL",1996,"gas",22159.256,3
"346","World","OWID_WRL",1996,"bioenergy",12050.91322,4
"347","World","OWID_WRL",1996,"hydro",7442.8306,5
"348","World","OWID_WRL",1996,"nuclear",6828.8057,6
"349","World","OWID_WRL",1996,"other_renewables",466.32935,7
"350","World","OWID_WRL",1996,"wind",27.250431,8
"351","World","OWID_WRL",1996,"solar",2.0676155,9
"352","World","OWID_WRL",1997,"oil",41453.445,1
"353","World","OWID_WRL",1997,"coal",26540.139,2
"354","World","OWID_WRL",1997,"gas",22030.393,3
"355","World","OWID_WRL",1997,"bioenergy",12196.18306,4
"356","World","OWID_WRL",1997,"hydro",7573.9106,5
"357","World","OWID_WRL",1997,"nuclear",6781.843,6
"358","World","OWID_WRL",1997,"other_renewables",499.9418,7
"359","World","OWID_WRL",1997,"wind",35.567307,8
"360","World","OWID_WRL",1997,"solar",2.2167242,9
"361","World","OWID_WRL",1998,"oil",41670.18,1
"362","World","OWID_WRL",1998,"coal",26372.479,2
"363","World","OWID_WRL",1998,"gas",22433.998,3
"364","World","OWID_WRL",1998,"bioenergy",12342.53989,4
"365","World","OWID_WRL",1998,"hydro",7632.345,5
"366","World","OWID_WRL",1998,"nuclear",6898.552,6
"367","World","OWID_WRL",1998,"other_renewables",520.55,7
"368","World","OWID_WRL",1998,"wind",47.10265,8
"369","World","OWID_WRL",1998,"solar",2.4006376,9
"370","World","OWID_WRL",1999,"oil",42383.22,1
"371","World","OWID_WRL",1999,"coal",26485.373,2
"372","World","OWID_WRL",1999,"gas",23071.902,3
"373","World","OWID_WRL",1999,"bioenergy",12549.43088,4
"374","World","OWID_WRL",1999,"hydro",7690.094,5
"375","World","OWID_WRL",1999,"nuclear",7161.0522,6
"376","World","OWID_WRL",1999,"other_renewables",546.14624,7
"377","World","OWID_WRL",1999,"wind",62.767708,8
"378","World","OWID_WRL",1999,"solar",2.6769266,9
"379","World","OWID_WRL",2000,"oil",42978.04,1
"380","World","OWID_WRL",2000,"coal",27434.627,2
"381","World","OWID_WRL",2000,"gas",23994.258,3
"382","World","OWID_WRL",2000,"bioenergy",12632.91783,4
"383","World","OWID_WRL",2000,"hydro",7826.347,5
"384","World","OWID_WRL",2000,"nuclear",7322.6826,6
"385","World","OWID_WRL",2000,"other_renewables",571.651,7
"386","World","OWID_WRL",2000,"wind",92.87796,8
"387","World","OWID_WRL",2000,"solar",3.1327264,9
"388","World","OWID_WRL",2001,"oil",43377.22,1
"389","World","OWID_WRL",2001,"coal",27864.945,2
"390","World","OWID_WRL",2001,"gas",24316.832,3
"391","World","OWID_WRL",2001,"bioenergy",12631.35425,4
"392","World","OWID_WRL",2001,"hydro",7575.7827,5
"393","World","OWID_WRL",2001,"nuclear",7480.557,6
"394","World","OWID_WRL",2001,"other_renewables",593.69916,7
"395","World","OWID_WRL",2001,"wind",112.75258,8
"396","World","OWID_WRL",2001,"solar",4.1827884,9
"397","World","OWID_WRL",2002,"oil",43676.043,1
"398","World","OWID_WRL",2002,"coal",28962.951,2
"399","World","OWID_WRL",2002,"gas",25030.172,3
"400","World","OWID_WRL",2002,"bioenergy",12629.00194,4
"401","World","OWID_WRL",2002,"hydro",7665.752,5
"402","World","OWID_WRL",2002,"nuclear",7551.0767,6
"403","World","OWID_WRL",2002,"other_renewables",639.19446,7
"404","World","OWID_WRL",2002,"wind",152.89404,8
"405","World","OWID_WRL",2002,"solar",5.252374,9
"406","World","OWID_WRL",2003,"oil",44652.22,1
"407","World","OWID_WRL",2003,"coal",31506.16,2
"408","World","OWID_WRL",2003,"gas",25729.617,3
"409","World","OWID_WRL",2003,"bioenergy",12507.32689,4
"410","World","OWID_WRL",2003,"hydro",7607.18,5
"411","World","OWID_WRL",2003,"nuclear",7350.6562,6
"412","World","OWID_WRL",2003,"other_renewables",674.7783,7
"413","World","OWID_WRL",2003,"wind",183.53348,8
